1,Không xác định,900 triệu,Bình Chánh,Hồ Chí Minh
2,68.68m²,2.2 tỷ,Quận 8,Hồ Chí Minh
3,90m²,8.6 tỷ,Quận 9,Hồ Chí Minh
4,60m²,2.39 tỷ,Bình Chánh,Hồ Chí Minh
5,85.4m²,60 triệu/m²,Tân Phú,Hồ Chí Minh
6,45m²,5.1 tỷ,Quận 1,Hồ Chí Minh
7,90m²,8 tỷ,Hà Nội,Hà Nội
8,96m²,9.6 tỷ,Quận 2,Hồ Chí Minh
9,75m²,4.7 tỷ,Quận 9,Hồ Chí Minh
10,136m²,32 triệu/m²,Hà Nội,Hà Nội
11,85m²,Thỏa thuận,Tân Phú,Hồ Chí Minh
12,80m²,4.5 tỷ,Bình Thạnh,Hồ Chí Minh
13,Không xác định,1.25 tỷ,Bình Tân,Hồ Chí Minh
14,200m²,350 triệu,,
15,55m²,38 triệu/m²,,Vũng Tàu
16,125m²,2.51 tỷ,,Long An
17,55m²,3.75 tỷ,Hà Nội,Hà Nội
18,75m²,35 triệu/m²,Quận 2,Hồ Chí Minh
19,600m²,1.1 tỷ,,Vũng Tàu
20,40m²,630 triệu,Bình Chánh,Hồ Chí Minh
21,48.5m²,2.1 tỷ,Quận 2,Hồ Chí Minh
22,136m²,5.8 tỷ,Bình Thạnh,Hồ Chí Minh
23,50m²,2.6 tỷ,Quận 2,Hồ Chí Minh
24,24.5m²,1.3 tỷ,Quận 8,Hồ Chí Minh
25,210m²,Thỏa thuận,Bình Tân,Hồ Chí Minh
26,38.5m²,520 triệu,Bình Chánh,Hồ Chí Minh
27,53m²,38 triệu/m²,,Vũng Tàu
28,60m²,900 triệu,Bình Chánh,Hồ Chí Minh
29,Không xác định,2 tỷ,,Vũng Tàu
30,52m²,2.85 tỷ,Quận 2,Hồ Chí Minh
31,100m²,900 triệu,,
32,130m²,4 triệu 300 ngàn/m2,,Long An
33,100m²,630 triệu,Bình Chánh,Hồ Chí Minh
34,125m²,900 triệu,Bình Chánh,Hồ Chí Minh
35,130m²,4 triệu/m2,Bình Chánh,Hồ Chí Minh
36,125m²,850 triệu,Quận 6,Hồ Chí Minh
37,100m²,800 triệu,,Vũng Tàu
38,180m²,800 triệu,Bình Chánh,Hồ Chí Minh
39,100m²,800 triệu,,Vũng Tàu
40,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
41,225m²,1 tỷ 300 triệu,,Long An
42,225m²,1 tỷ 300 triệu,,Long An
43,100m²,450 triệu,Bình Chánh,Hồ Chí Minh
44,130m²,300 triệu,,Long An
45,130m²,250 triệu,Bình Chánh,Hồ Chí Minh
46,125m²,900 triệu,,Long An
47,100m²,520 triệu,Bình Chánh,Hồ Chí Minh
48,250m²,1 tỷ 400 triệu,,Long An
49,250m²,1 tỷ 400 triệu,Bình Chánh,Hồ Chí Minh
50,250m²,1 tỷ 400 triệu,Bình Chánh,Hồ Chí Minh
51,101m²,26 triệu/m²,Hà Nội,Hà Nội
52,145m²,Thỏa thuận,Hà Nội,Hà Nội
53,Không xác định,1.2 tỷ,Bình Tân,Hồ Chí Minh
54,Không xác định,900 triệu,Bình Chánh,Hồ Chí Minh
55,68.68m²,2.2 tỷ,Quận 8,Hồ Chí Minh
56,90m²,8.6 tỷ,Quận 9,Hồ Chí Minh
57,60m²,2.39 tỷ,Bình Chánh,Hồ Chí Minh
58,85.4m²,60 triệu/m²,Tân Phú,Hồ Chí Minh
59,45m²,5.1 tỷ,Quận 1,Hồ Chí Minh
60,90m²,8 tỷ,Hà Nội,Hà Nội
61,96m²,9.6 tỷ,Quận 2,Hồ Chí Minh
62,75m²,4.7 tỷ,Quận 9,Hồ Chí Minh
63,136m²,32 triệu/m²,Hà Nội,Hà Nội
64,85m²,Thỏa thuận,Tân Phú,Hồ Chí Minh
65,80m²,4.5 tỷ,Bình Thạnh,Hồ Chí Minh
66,Không xác định,1.25 tỷ,Bình Tân,Hồ Chí Minh
67,200m²,350 triệu,,
68,55m²,38 triệu/m²,,Vũng Tàu
69,125m²,2.51 tỷ,,Long An
70,55m²,3.75 tỷ,Hà Nội,Hà Nội
71,75m²,35 triệu/m²,Quận 2,Hồ Chí Minh
72,600m²,1.1 tỷ,,Vũng Tàu
73,40m²,630 triệu,Bình Chánh,Hồ Chí Minh
74,48.5m²,2.1 tỷ,Quận 2,Hồ Chí Minh
75,136m²,5.8 tỷ,Bình Thạnh,Hồ Chí Minh
76,50m²,2.6 tỷ,Quận 2,Hồ Chí Minh
77,24.5m²,1.3 tỷ,Quận 8,Hồ Chí Minh
78,210m²,Thỏa thuận,Bình Tân,Hồ Chí Minh
79,38.5m²,520 triệu,Bình Chánh,Hồ Chí Minh
80,53m²,38 triệu/m²,,Vũng Tàu
81,100m²,799 triệu,,Long An
82,125m²,8 triệu/m2,Bình Tân,Hồ Chí Minh
83,125m²,8 triệu/m2,,Long An
84,120m²,12 triệu/m2,,Long An
85,225m²,2 tỷ 300 triệu,,Long An
86,100m²,577 triệu,,Long An
87,100m²,799 triệu,Bình Chánh,Hồ Chí Minh
88,125m²,8 triệu/m2,,Long An
89,100m²,799 triệu,Bình Tân,Hồ Chí Minh
90,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
91,125m²,8 triệu/m2,,Long An
92,47m²,400 triệu,,Long An
93,130m²,450 triệu,,Long An
94,125m²,8 triệu/m2,Bình Tân,Hồ Chí Minh
95,100m²,2 tỷ 900 triệu,Bình Chánh,Hồ Chí Minh
96,100m²,799 triệu,Bình Chánh,Hồ Chí Minh
97,130m²,450 triệu,Bình Chánh,Hồ Chí Minh
98,100m²,799 triệu,,Long An
99,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
100,100m²,799 triệu,,Long An
101,100m²,799 triệu,,Long An
102,125m²,8 triệu/m2,Bình Tân,Hồ Chí Minh
103,125m²,8 triệu/m2,,Long An
104,120m²,12 triệu/m2,,Long An
105,225m²,2 tỷ 300 triệu,,Long An
106,100m²,577 triệu,,Long An
107,100m²,799 triệu,Bình Chánh,Hồ Chí Minh
108,125m²,8 triệu/m2,,Long An
109,100m²,799 triệu,Bình Tân,Hồ Chí Minh
110,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
111,125m²,8 triệu/m2,,Long An
112,47m²,400 triệu,,Long An
113,130m²,450 triệu,,Long An
114,125m²,8 triệu/m2,Bình Tân,Hồ Chí Minh
115,100m²,2 tỷ 900 triệu,Bình Chánh,Hồ Chí Minh
116,100m²,799 triệu,Bình Chánh,Hồ Chí Minh
117,130m²,450 triệu,Bình Chánh,Hồ Chí Minh
118,100m²,799 triệu,,Long An
119,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
120,100m²,799 triệu,,Long An
121,100m²,799 triệu,,Long An
122,125m²,8 triệu/m2,Bình Tân,Hồ Chí Minh
123,125m²,8 triệu/m2,,Long An
124,120m²,12 triệu/m2,,Long An
125,225m²,2 tỷ 300 triệu,,Long An
126,100m²,577 triệu,,Long An
127,100m²,799 triệu,Bình Chánh,Hồ Chí Minh
128,125m²,8 triệu/m2,,Long An
129,100m²,799 triệu,Bình Tân,Hồ Chí Minh
130,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
131,125m²,8 triệu/m2,,Long An
132,47m²,400 triệu,,Long An
133,130m²,450 triệu,,Long An
134,125m²,8 triệu/m2,Bình Tân,Hồ Chí Minh
135,100m²,2 tỷ 900 triệu,Bình Chánh,Hồ Chí Minh
136,100m²,799 triệu,Bình Chánh,Hồ Chí Minh
137,130m²,450 triệu,Bình Chánh,Hồ Chí Minh
138,100m²,799 triệu,,Long An
139,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
140,100m²,799 triệu,,Long An
141,53m²,2 tỷ,,Vũng Tàu
142,90m²,9 triệu 500 ngàn/m2,,Vĩnh Long
143,90m²,9 triệu,,Vĩnh Long
144,90m²,9 triệu 500 ngàn,,Vĩnh Long
145,90m²,9 triệu 500 ngàn/m2,,Vĩnh Long
146,90m²,9 triệu/m2,,Vĩnh Long
147,90m²,9 triệu 500 ngàn,,Vĩnh Long
148,90m²,9 triệu 500 ngàn/m2,,Vĩnh Long
149,90m²,9 triệu/m2,,Vĩnh Long
150,125m²,420 triệu,Bình Tân,Hồ Chí Minh
151,125m²,750 triệu,Bình Chánh,Hồ Chí Minh
152,126m²,1 tỷ 70 triệu,Bình Chánh,Hồ Chí Minh
156,96m²,9.5 tỷ,Quận 2,Hồ Chí Minh
157,120m²,Thỏa thuận,,Đồng Nai
158,60m²,900 triệu,Bình Chánh,Hồ Chí Minh
159,53m²,1.5 tỷ,Quận 7,Hồ Chí Minh
160,53m²,Thỏa thuận,,Vũng Tàu
161,60m²,30 triệu/m²,Quận 9,Hồ Chí Minh
162,105m²,Thỏa thuận,Bình Tân,Hồ Chí Minh
163,3000m²,1400 tỷ,Quận 1,Hồ Chí Minh
164,Không xác định,2.5 tỷ,Hà Nội,Hà Nội
165,Không xác định,1.2 tỷ,,
166,60m²,900 triệu,Bình Chánh,Hồ Chí Minh
167,Không xác định,Thỏa thuận,,Bình Dương
168,99m²,8 tỷ,Hà Nội,Hà Nội
169,150m²,275 triệu,,
170,125m²,780 triệu,Bình Chánh,Hồ Chí Minh
171,100m²,Thương lượng,Bình Chánh,Hồ Chí Minh
172,80m²,15 triệu/m2,Củ Chi,Hồ Chí Minh
173,125m²,8 triệu/m2,,Long An
174,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
175,80m²,450 triệu,,Long An
176,100m²,755 triệu,,Long An
177,125m²,8 triệu/m2,,Long An
178,125m²,8 triệu/m2,Bình Chánh,Hồ Chí Minh
179,80m²,450 triệu,,Long An
205,90m²,1.2 tỷ,,Vũng Tàu
206,276.5m²,55 triệu/m²,Hà Nội,Hà Nội
207,1981m²,3.85 tỷ,,Đồng Nai
208,Không xác định,Thỏa thuận,,Bình Dương
209,1000m²,520 triệu,,Bình Dương
210,360m²,Thỏa thuận,,Vũng Tàu
211,81m²,35 triệu/m²,Hà Nội,Hà Nội
212,Không xác định,1.71 tỷ,Bình Tân,Hồ Chí Minh
213,100m²,679 triệu/m²,,Bình Dương
214,Không xác định,Thỏa thuận,Hà Nội,Hà Nội
215,48m²,4.8 tỷ,Tân Phú,Hồ Chí Minh
216,285m²,24 tỷ,,Vũng Tàu
217,100m²,7 triệu/m²,,Đồng Nai
218,60m²,2.2 tỷ,,Bình Dương
219,75m²,4.35 tỷ,Quận 4,Hồ Chí Minh
220,65m²,3.3 tỷ,Quận 2,Hồ Chí Minh
221,122.2m²,55 triệu/m²,Hà Nội,Hà Nội
222,110m²,51 tỷ,Hà Nội,Hà Nội
223,86m²,3.9 tỷ,Quận 2,Hồ Chí Minh
224,93m²,28.5 tỷ,Hà Nội,Hà Nội
225,76m²,Thỏa thuận,,Vũng Tàu
226,145m²,4.36 tỷ,Quận 7,Hồ Chí Minh
227,35.5m²,4.45 tỷ,Bình Thạnh,Hồ Chí Minh
228,100m²,1 tỷ,,Đồng Nai
229,300m²,1.8 tỷ,Bình Chánh,Hồ Chí Minh
230,80m²,2.7 tỷ,Bình Tân,Hồ Chí Minh
231,88m²,15.4 triệu/m²,Bình Chánh,Hồ Chí Minh
232,175m²,19.2 tỷ,Quận 2,Hồ Chí Minh
233,70m²,4 tỷ,Tân Bình,Hồ Chí Minh
234,76.2m²,8 tỷ,Hà Nội,Hà Nội
235,80m²,17 triệu,Củ Chi,Hồ Chí Minh
236,80m²,17 triệu,Củ Chi,Hồ Chí Minh
237,80m²,17 triệu,Củ Chi,Hồ Chí Minh
238,80m²,17 triệu,Củ Chi,Hồ Chí Minh
239,80m²,17 triệu,Củ Chi,Hồ Chí Minh
240,80m²,18 triệu 888 ngàn,Củ Chi,Hồ Chí Minh
241,80m²,17 triệu,Củ Chi,Hồ Chí Minh
242,80m²,17 triệu,Củ Chi,Hồ Chí Minh
243,80m²,17 triệu,Củ Chi,Hồ Chí Minh
244,80m²,17 triệu,Củ Chi,Hồ Chí Minh
245,80m²,17 triệu,Củ Chi,Hồ Chí Minh
246,80m²,17 triệu,Củ Chi,Hồ Chí Minh
250,80m²,17 triệu 868 ngàn,Củ Chi,Hồ Chí Minh
251,80m²,17 triệu,Củ Chi,Hồ Chí Minh
252,80m²,17 triệu,Củ Chi,Hồ Chí Minh
253,80m²,17 triệu,Củ Chi,Hồ Chí Minh
254,80m²,17 triệu,Củ Chi,Hồ Chí Minh
255,90m²,1.2 tỷ,,Vũng Tàu
256,276.5m²,55 triệu/m²,Hà Nội,Hà Nội
257,1981m²,3.85 tỷ,,Đồng Nai
258,Không xác định,Thỏa thuận,,Bình Dương
260,360m²,Thỏa thuận,,Vũng Tàu
261,81m²,35 triệu/m²,Hà Nội,Hà Nội
262,Không xác định,1.71 tỷ,Bình Tân,Hồ Chí Minh
263,100m²,679 triệu/m²,,Bình Dương
264,Không xác định,Thỏa thuận,Hà Nội,Hà Nội
265,48m²,4.8 tỷ,Tân Phú,Hồ Chí Minh
266,285m²,24 tỷ,,Vũng Tàu
267,100m²,7 triệu/m²,,Đồng Nai
268,60m²,2.2 tỷ,,Bình Dương
269,75m²,4.35 tỷ,Quận 4,Hồ Chí Minh
270,65m²,3.3 tỷ,Quận 2,Hồ Chí Minh
271,122.2m²,55 triệu/m²,Hà Nội,Hà Nội
272,110m²,51 tỷ,Hà Nội,Hà Nội
273,86m²,3.9 tỷ,Quận 2,Hồ Chí Minh
274,93m²,28.5 tỷ,Hà Nội,Hà Nội
275,76m²,Thỏa thuận,,Vũng Tàu
276,145m²,4.36 tỷ,Quận 7,Hồ Chí Minh
277,35.5m²,4.45 tỷ,Bình Thạnh,Hồ Chí Minh
278,100m²,1 tỷ,,Đồng Nai
279,300m²,1.8 tỷ,Bình Chánh,Hồ Chí Minh
280,80m²,2.7 tỷ,Bình Tân,Hồ Chí Minh
281,88m²,15.4 triệu/m²,Bình Chánh,Hồ Chí Minh
282,175m²,19.2 tỷ,Quận 2,Hồ Chí Minh
283,70m²,4 tỷ,Tân Bình,Hồ Chí Minh
284,76.2m²,8 tỷ,Hà Nội,Hà Nội
285,100m²,900 triệu,,Đồng Nai
286,206.9m²,6.7 tỷ,Bình Chánh,Hồ Chí Minh
287,300m²,Thỏa thuận,,Bình Dương
288,150m²,1.45 tỷ,,Bình Dương
289,150m²,18.5 triệu/m²,,Đồng Nai
290,1432m²,575 triệu,,Bình Dương
291,145m²,Thỏa thuận,Hà Nội,Hà Nội
292,70m²,3 tỷ,Quận 2,Hồ Chí Minh
293,72m²,3.7 tỷ,Quận 2,Hồ Chí Minh
294,200m²,Thỏa thuận,,
295,64m²,Thỏa thuận,Quận 2,Hồ Chí Minh
296,90m²,9 tỷ,Hà Nội,Hà Nội
297,Không xác định,550 triệu,,Bình Dương
298,Không xác định,42 triệu/m²,Quận 8,Hồ Chí Minh
299,125m²,280 triệu,,
300,1000m²,21 tỷ,Quận 9,Hồ Chí Minh
301,500m²,450 triệu,,
302,160m²,7.4 tỷ,,
303,150m²,48 tỷ,Quận 1,Hồ Chí Minh
304,2518m²,Thỏa thuận,,Bình Dương
305,150m²,350 triệu,Tân Bình,Hồ Chí Minh
306,79m²,3.65 tỷ,Bình Thạnh,Hồ Chí Minh
307,68m²,Thỏa thuận,Quận 1,Hồ Chí Minh
308,900m²,450 triệu,,Bình Dương
309,100m²,729 triệu,Bình Chánh,Hồ Chí Minh
310,600m²,450 triệu,,Bình Dương
311,1000m²,29 tỷ,Quận 9,Hồ Chí Minh
312,80m²,17 triệu 868 ngàn,Củ Chi,Hồ Chí Minh
313,80m²,18 triệu 888 ngàn,Củ Chi,Hồ Chí Minh
314,100m²,1 tỷ 500 triệu,,Đồng Nai
385,86m²,3.9 tỷ,Quận 1,Hồ Chí Minh
386,120m²,45 triệu/m²,Hà Nội,Hà Nội
387,100m²,2.28 tỷ,,Bình Dương
388,38.2m²,3.5 tỷ,Hà Nội,Hà Nội
389,120.4m²,27.5 triệu/m²,,
390,82.5m²,6.3 tỷ,Quận 1,Hồ Chí Minh
391,Không xác định,49 triệu/m²,Quận 2,Hồ Chí Minh
392,1000m²,570 triệu,,
393,65m²,3.4 tỷ,Quận 2,Hồ Chí Minh
394,Không xác định,36 triệu/m²,,Vũng Tàu
395,80m²,6.19 tỷ,Quận 9,Hồ Chí Minh
396,78m²,6.05 tỷ,Quận 1,Hồ Chí Minh
397,76m²,3.115 tỷ,Quận 2,Hồ Chí Minh
398,278m²,Thỏa thuận,Hà Nội,Hà Nội
399,53m²,35 triệu/m²,,Vũng Tàu
400,76m²,8 tỷ,Hà Nội,Hà Nội
401,102.5m²,3.15 tỷ,,Đồng Nai
402,120m²,23 triệu/m²,Hà Nội,Hà Nội
403,120m²,21 triệu/m²,,
404,75m²,Thỏa thuận,Hà Nội,Hà Nội
405,100m²,599 triệu,,Bình Dương
406,100m²,8 triệu/m²,,Đồng Nai
407,110.2m²,46 triệu/m²,Quận 9,Hồ Chí Minh
408,100m²,Thỏa thuận,,Đồng Nai
409,86.5m²,3 tỷ,Hà Nội,Hà Nội
410,67m²,1.85 tỷ,Quận 7,Hồ Chí Minh
411,64.5m²,Thỏa thuận,Quận 9,Hồ Chí Minh
412,306m²,Thỏa thuận,Hà Nội,Hà Nội
413,86m²,3.9 tỷ,Quận 1,Hồ Chí Minh
414,120m²,45 triệu/m²,Hà Nội,Hà Nội
415,100m²,900 triệu,,Đồng Nai
416,80m²,4.5 tỷ,Bình Thạnh,Hồ Chí Minh
417,100m²,1 tỷ 500 triệu,,Đồng Nai
418,120m²,680 triệu,Bình Chánh,Hồ Chí Minh
419,125m²,1 tỷ 100 triệu,Quận 6,Hồ Chí Minh
420,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
421,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
422,130m²,1 tỷ,Bình Chánh,Hồ Chí Minh
423,100m²,1 tỷ 500 triệu,,Đồng Nai
424,120m²,680 triệu,Bình Chánh,Hồ Chí Minh
425,125m²,1 tỷ 100 triệu,Quận 6,Hồ Chí Minh
426,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
427,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
428,130m²,1 tỷ,Bình Chánh,Hồ Chí Minh
429,100m²,2.28 tỷ,,Bình Dương
430,38.2m²,3.5 tỷ,Hà Nội,Hà Nội
431,120.4m²,27.5 triệu/m²,,
432,82.5m²,6.3 tỷ,Quận 1,Hồ Chí Minh
433,Không xác định,49 triệu/m²,Quận 2,Hồ Chí Minh
435,65m²,3.4 tỷ,Quận 2,Hồ Chí Minh
436,Không xác định,36 triệu/m²,,Vũng Tàu
437,80m²,6.19 tỷ,Quận 9,Hồ Chí Minh
438,78m²,6.05 tỷ,Quận 1,Hồ Chí Minh
439,76m²,3.115 tỷ,Quận 2,Hồ Chí Minh
440,278m²,Thỏa thuận,Hà Nội,Hà Nội
441,53m²,35 triệu/m²,,Vũng Tàu
442,76m²,8 tỷ,Hà Nội,Hà Nội
443,102.5m²,3.15 tỷ,,Đồng Nai
444,120m²,23 triệu/m²,Hà Nội,Hà Nội
445,120m²,21 triệu/m²,,
446,75m²,Thỏa thuận,Hà Nội,Hà Nội
447,100m²,599 triệu,,Bình Dương
448,100m²,8 triệu/m²,,Đồng Nai
449,110.2m²,46 triệu/m²,Quận 9,Hồ Chí Minh
450,100m²,Thỏa thuận,,Đồng Nai
451,86.5m²,3 tỷ,Hà Nội,Hà Nội
452,67m²,1.85 tỷ,Quận 7,Hồ Chí Minh
453,64.5m²,Thỏa thuận,Quận 9,Hồ Chí Minh
454,306m²,Thỏa thuận,Hà Nội,Hà Nội
455,86m²,3.9 tỷ,Quận 1,Hồ Chí Minh
456,120m²,45 triệu/m²,Hà Nội,Hà Nội
457,100m²,900 triệu,,Đồng Nai
458,80m²,4.5 tỷ,Bình Thạnh,Hồ Chí Minh
459,100m²,2.28 tỷ,,Bình Dương
460,38.2m²,3.5 tỷ,Hà Nội,Hà Nội
461,120.4m²,27.5 triệu/m²,,
462,82.5m²,6.3 tỷ,Quận 1,Hồ Chí Minh
463,Không xác định,49 triệu/m²,Quận 2,Hồ Chí Minh
465,65m²,3.4 tỷ,Quận 2,Hồ Chí Minh
466,Không xác định,36 triệu/m²,,Vũng Tàu
467,80m²,6.19 tỷ,Quận 9,Hồ Chí Minh
468,78m²,6.05 tỷ,Quận 1,Hồ Chí Minh
469,76m²,3.115 tỷ,Quận 2,Hồ Chí Minh
470,278m²,Thỏa thuận,Hà Nội,Hà Nội
471,53m²,35 triệu/m²,,Vũng Tàu
472,76m²,8 tỷ,Hà Nội,Hà Nội
473,102.5m²,3.15 tỷ,,Đồng Nai
474,120m²,23 triệu/m²,Hà Nội,Hà Nội
475,120m²,21 triệu/m²,,
476,75m²,Thỏa thuận,Hà Nội,Hà Nội
477,100m²,599 triệu,,Bình Dương
478,100m²,8 triệu/m²,,Đồng Nai
479,110.2m²,46 triệu/m²,Quận 9,Hồ Chí Minh
480,100m²,Thỏa thuận,,Đồng Nai
481,86.5m²,3 tỷ,Hà Nội,Hà Nội
482,67m²,1.85 tỷ,Quận 7,Hồ Chí Minh
483,64.5m²,Thỏa thuận,Quận 9,Hồ Chí Minh
484,306m²,Thỏa thuận,Hà Nội,Hà Nội
485,86m²,3.9 tỷ,Quận 1,Hồ Chí Minh
486,120m²,45 triệu/m²,Hà Nội,Hà Nội
487,100m²,900 triệu,,Đồng Nai
488,80m²,4.5 tỷ,Bình Thạnh,Hồ Chí Minh
489,100m²,1 tỷ 500 triệu,,Đồng Nai
490,120m²,680 triệu,Bình Chánh,Hồ Chí Minh
491,80m²,17 triệu,Củ Chi,Hồ Chí Minh
492,80m²,18 triệu 888 ngàn,Củ Chi,Hồ Chí Minh
493,80m²,17 triệu,Củ Chi,Hồ Chí Minh
494,80m²,17 triệu,Củ Chi,Hồ Chí Minh
495,80m²,17 triệu,Củ Chi,Hồ Chí Minh
496,80m²,17 triệu,Củ Chi,Hồ Chí Minh
497,80m²,17 triệu 868 ngàn,Củ Chi,Hồ Chí Minh
502,80m²,17 triệu 868 ngàn,Củ Chi,Hồ Chí Minh
503,80m²,17 triệu,Củ Chi,Hồ Chí Minh
504,80m²,17 triệu,Củ Chi,Hồ Chí Minh
505,125m²,1 tỷ 100 triệu,Quận 6,Hồ Chí Minh
506,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
507,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
508,130m²,1 tỷ,Bình Chánh,Hồ Chí Minh
647,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
648,130m²,1 tỷ,Bình Chánh,Hồ Chí Minh
649,100m²,2.28 tỷ,,Bình Dương
650,38.2m²,3.5 tỷ,Hà Nội,Hà Nội
651,120.4m²,27.5 triệu/m²,,
652,82.5m²,6.3 tỷ,Quận 1,Hồ Chí Minh
653,Không xác định,49 triệu/m²,Quận 2,Hồ Chí Minh
655,65m²,3.4 tỷ,Quận 2,Hồ Chí Minh
656,Không xác định,36 triệu/m²,,Vũng Tàu
657,80m²,6.19 tỷ,Quận 9,Hồ Chí Minh
658,78m²,6.05 tỷ,Quận 1,Hồ Chí Minh
659,76m²,3.115 tỷ,Quận 2,Hồ Chí Minh
660,278m²,Thỏa thuận,Hà Nội,Hà Nội
661,53m²,35 triệu/m²,,Vũng Tàu
662,76m²,8 tỷ,Hà Nội,Hà Nội
663,102.5m²,3.15 tỷ,,Đồng Nai
664,120m²,23 triệu/m²,Hà Nội,Hà Nội
665,120m²,21 triệu/m²,,
666,75m²,Thỏa thuận,Hà Nội,Hà Nội
667,100m²,599 triệu,,Bình Dương
668,100m²,8 triệu/m²,,Đồng Nai
669,110.2m²,46 triệu/m²,Quận 9,Hồ Chí Minh
670,100m²,Thỏa thuận,,Đồng Nai
671,86.5m²,3 tỷ,Hà Nội,Hà Nội
672,67m²,1.85 tỷ,Quận 7,Hồ Chí Minh
673,64.5m²,Thỏa thuận,Quận 9,Hồ Chí Minh
674,306m²,Thỏa thuận,Hà Nội,Hà Nội
675,86m²,3.9 tỷ,Quận 1,Hồ Chí Minh
676,120m²,45 triệu/m²,Hà Nội,Hà Nội
677,100m²,900 triệu,,Đồng Nai
678,80m²,4.5 tỷ,Bình Thạnh,Hồ Chí Minh
679,126m²,1 tỷ 70 triệu,Bình Chánh,Hồ Chí Minh
680,900m²,635 triệu,,Bình Dương
681,260m²,548 triệu,Bình Chánh,Hồ Chí Minh
682,100m²,Thương lượng,Bình Chánh,Hồ Chí Minh
683,125m²,780 triệu,Bình Chánh,Hồ Chí Minh
684,200m²,990 triệu,Bình Chánh,Hồ Chí Minh
685,100m²,980 triệu,Bình Chánh,Hồ Chí Minh
686,100m²,900 triệu,Bình Chánh,Hồ Chí Minh
687,125m²,Thương lượng,Bình Chánh,Hồ Chí Minh
688,100m²,700 triệu,Bình Chánh,Hồ Chí Minh
689,125m²,900 triệu,Bình Chánh,Hồ Chí Minh
690,525m²,542 triệu,,Bình Dương
691,100m²,608 triệu,Bình Chánh,Hồ Chí Minh
692,100m²,630 triệu,Bình Chánh,Hồ Chí Minh
693,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
694,140m²,18 triệu/m2,Bình Chánh,Hồ Chí Minh
695,100m²,540 triệu,,Vũng Tàu
696,140m²,18 triệu/m2,Bình Chánh,Hồ Chí Minh
697,600m²,585 triệu,,Bình Dương
698,300m²,579 triệu,,Bình Dương
719,600m²,585 triệu,,Bình Dương
720,300m²,579 triệu,,Bình Dương
721,1000m²,2 triệu/m2,,Bình Dương
722,630m²,619 triệu,,Bình Dương
723,125m²,1 tỷ 100 triệu,Bình Chánh,Hồ Chí Minh
724,140m²,18 triệu/m2,Bình Chánh,Hồ Chí Minh
725,900m²,635 triệu,,Bình Dương
726,525m²,542 triệu,,Bình Dương
727,126m²,1 tỷ 70 triệu,Bình Chánh,Hồ Chí Minh
728,100m²,1 tỷ 200 triệu,,Long An
729,126m²,650 triệu,,Khánh Hòa
730,260m²,548 triệu,Bình Chánh,Hồ Chí Minh
731,100m²,Thương lượng,Bình Chánh,Hồ Chí Minh
